station_name,review_text,review_rating
Hounslow Police Station,"This incident happened today (26th May 2022) by the great west road, Hounslow. Whereby I had stopped my car to pick up my kid from school, only a lonely lane. After about 2 minutes a police vehicle stops around 10 meters behind me on the same lane and issues me a ticket stating ""This is not a place to park"". I said to the officer, ""I am in no way parking here and am only here to pick up my child who studies in Lampton school"". to which his partner replies in a very rude manner "" As much as you care about your child, we care about the public"". I told him that I was not aware that I cannot stop here, since there are no signs stating so and if it is not allowed I am leaving. Arrogantly he made his partner issue me a ticket and left. Can a police officer issue a ticket when I am still in the car and ready to leave? If the police officers were so much concerned of the public, how come, he too parked in the same place and was waiting there even after I left. That space is not even used as a footpath as people tend to walk along the other side of the cycle lane where there are houses. The cycle lane is close to the lane I had stopped. I could not believe that I was issued a ticket for that location and circumstance, Whereby, by my stopping there was not creating any inconvenience to the public. It seems the police personnel had no empathy nor simple understanding. On one hand the police department say not to book thieves who rob from supermarket as the living circumstances are difficult due to price rise on the other side, they themselves want to snatch money out of people pockets to fill their kitty. They dont have enough man power to catch serious culprits, but have enough man power to issue speeding tickets hiding behind tree or to look out for people like me who unknowingly are caught creating an offense (as per the police). Day by day, many like me have lost trust in the Metropolitan police. Most of the police personnel, at least here in Hounslow do not care of the public. All they care is about them selves zooming in cars with the siren ON even when the roads are deserted. It is a very sorrowful and disgusting situation. The rating should not show a star as it does not suit the scenario.",1
Bexleyheath Police Station,"Visited Bexleyheath Friday, after moving out a year ago (I lived in Bexleyheath for 7 years). I was stopped by police for alleged suspicious behaviour apparently I was looking in car windows which is rubbish. Asked for ID, and I provided my driving license promptly. I was asked unnecessary questions like have I smoked weed, and when was the last time I smoked weed, when was the last time I smashed a car window. And was asked if I worked or not. Un-necessary question about if I work or not, it has no bearing on the alleged crime or anything.  I am 18 years old. I found the female officer, and the two male officers rude said they did not believe my story. When I said I was a victim of car crime 2 years ago and that's why we moved out, and I told them to check with the officer who were were dealing with, gave them the officers name. And one male officer tried to twist my words and tried to say I was there one who was smashing car windows! When I was the victim of it! And then I was told to go back to where I came from (near Surrey Quays). I felt intimidated and felt I was guilty to them from the moment they saw me. When challenged  about the alleged call,  I was told ""You are 30 seconds away from the police station"".  They told me to go home, and then said the other units know what I look like, and will be checking if I left or not. This was just trying to be intimidating with these threats when I had done nothing wrong, I was also told they would be checking the CCTV. Since then I have had no contact with the police or officers, so I assume they saw it (if there was any, couldn't see any) and realised they were in the wrong.
Shame I never got their names, else they would also be reported for the illegal search as well. They never identified themselves, but they were in full uniform with a marked police car.  I had no issue being searched, but they did not search in the correct manner. Overall some officers are nice, some aren't.  The station is fairly small, but cosy.",1
Bethnal Green Police Station,Never been to London before ' ended up at this station as a victim of crime ' front desk operator and his frmale colleague' practically ignored me ' refused to give me water refused me the use of a restroom refused the use of the telephone 'please remember I also had luggage to carry I think the front desk (officer is polish ???? Never caught his name ' or hers ' was given directions hand written to go to whitechapel centre where female desk worker assured me I would be safe this was a 40 minute walk with heavy baggage when I reached the institution I was'confronted by junkies ' homeless people ' males mostly ' I was terrified out of my mind and sought refuge behind the counter refusing to be put back into a volatile situation this is the worst police station   PC attitude needs to pull their socks up !!!!!!' PC attitude simply do not care about any public member walking into that station  bethnel green has a duty of care which lacks at the desk the polish or foreign desk pc if that's what his title is needs to be sacked along with his female colleague I have NEVER been so enraged in my life ' my basic human requirements were not met offered or asked 'to let a female who is lost ' upset ' and told you can sit here for an hour left me breathless I a uk citizen being talked down to like riffraff by this pair is totally WRONG ' I am forwarding an official complaint against this pair and remind them they are public servants only to serve the public show empathy ' to at least allow a phone call and a cup of water and NEVER to be treated like a criminal I am actually  glaswegian ' was on a visit to London was a victim of crime and basically was treated unprofessionally' unacceptably ' rude ' and the chief commissioner WILL read my complaint ' I am home safe and tired I cannot count the number of complaints I witnessed at my unfortunate stay but those 2 last monday will be getting a reprimand hopefully a long holiday ' one disgusted victim of crime,1
Croydon Police Station,After what's in the news I was horrified to find that a place where I have worked before and know these people and know that every one of them at absolutely Heroes most of the ex-military in some shape or form and for them to be put under the cosh that this is not right something went wrong and the custody Sergeant lost his life now I was trained on how to use handcuffs when I do indoor work and it's not right but it's gone on yes complacency is there because of covid-19 but we need to help guys we don't need you to intervene but what we do need is help with calming down situation I'm indoors I cannot get to Croydon 2 to lay flowers and show my respect hello Will when I'm next in London you have done the Stanground everyone is on at the moment due to coronavirus and humans are humans where they were wearing uniform or not yes professionalism comes into play in 100% of their work but covid-19 is put an added pressure on things and and please guys these people are putting their lives on the line for us you might be up to mischief yourself but what about if your wife or children are in trouble one day and you're not in the area who do you call the police so think about that when you're getting professional boundaries of respect if the police are talking to you they have to be be assertive and sometimes that comes across as arrogant and it's not as they have to be professional and I can't take too much in otherwise they cannot do the job so come on guys please help a long stay out of trouble but if you do get into trouble treat them with respect and they treat you with the same respect back if you have a weapon on you or something that can be used as a weapon tell them straight away don't take it out of your pocket let them get it you can do something called arrested and then be rested for the sake of a strip Search but that sometimes they just check your pockets in the street and if so just let them they're doing their job come on guys,5
Romford Police Station,"Waiting room for seeing an police person at the reception is normally a few hours min waiting time.... You are better to report on line apparently or leave it all till get an appointment with a doctor to certified as a regular believer in just... A lie or 3 or 6 and when felt a good enough reason.. ... It's not I have been dealing with the staff at Romford police station now for many years, not as a criminal I've a little problem of a restraining order and them not being able to to always see the breach as the lawyers do... There has been issues concerning loosing vital.. Missing statements.. evidence and never looking back at any past history to pass there judgment when assessing each report... A really good place to run through role plays they have have a habit of just springing it on you as  a joke I assume... That why they do...???? From playing doctors to judges.. Solicitors... Even life coaching advice... All a bit of of a worry considering they are potentially killing people's with the words of wisdom that they have no qualifications in or experienced enough to make statements as they choose to... I have no doubt that others are being more likely happy with the result.. have not been lucky more than most it's been the lot of them I've felt like I've had to fight against... I'm not educated in the law and am not experienced in the codes of conduct they are based on whilst working and dealing with the general public.. I have felt that I a single mother to my 9 year old daughter have been over looked time after time putting us at risk and causing me a lot of trouble with that I now know to be a over ... be able to uphold the law clear",1
Islington Police Station,"Bit of a non-physical station. Maybe the Bobbies will soon be working from home via a screen.

Their number has been disconnected and to report a crime now one has to complete their forms for them by going online.

Without disrespecting such victims, it does appear from the form that priority will only be given if there's been a discriminatory nature to the crime being reported.

If you haven't been targeted or victimised for being deaf, dumb, blind, black or gay it appears one goes to the back of the queue. Which is fair enough, I suppose. As long as it eventually gets followed up before any hope of solving the crime has dissolved.

After spending 15 minutes completing their form online, it is submitted with a suggestion that they will respond in 48 hours.

If they don't, the only way to contact them is via Twitter or Facebook; all communications thus far are from a NoReply email address.

Not very comforting to those who don't have web access or who find technology intimidating.

**Update: 2 Weeks have passed and as well as auto-response emails I've had 2 emails from humans a week apart but they say the same thing: ""This has been sent to the officer in charge of your case and they should be in contact with you shortly.""
At this stage all I'm asking is that they collect the footage we have explicitly showing the alleged perp, full-faced and red-handed taking £Ks worth of our stuff. Obvs, there's not much confidence that if/when they DO get the footage, that they'll even look at it.
I guess they're busy with more pressing stuff.",1
Colindale Police Station,"Hi all, I have so much respect to all polices in this country UK and around the world but the Colindale police which is in Colindale belong to Barnet Council they've been so careless about my case.
My case: it's been a couple of months back  that there was a learner driver stoping behind a red traffic light, where I wanted to go through and when the lights went green he was still there I horned at him to inform him that the light is green you can go alternatively he called me w***** and he drove right in front of me cut my way.  I slaped his car bonnet to remove your car that I can go he came out from his car he kicked my right wing of the car and I have a dent in the car plus the wing mirror is loose too. I had to call the police to sort out the problem when the police turned up to the incident location, the polices asked us to drive somewhere safe to discuss what happened. we drove off parkd somewhere safe the person who kicked my car he apologized to me in front of the police's and he said that he will fix my car also the kicker gave me a fake garage telephone number that I can phone them and get them to fix my car. The case was running by the Colindale police but unfortunately the police didn't chase up the person and I still have his car details the police didn't pay attention for the road offences  at all. I would like to take the time to thank all London polices and specifically to Colindale police that they have been so careless. thank you so much Colindale police.",1
Edmonton Police Station,"Been a while now since my last visit. Don't think I'll be back. Solid bed, not really a pillow, more comfort of an arm chair. The blanket was more of a gym mat. The bathroom was awful, I wouldn't recommend a number 2. Cuz u will be stuck with it the rest of the night.

Strict no mobile phone policy. No WiFi or entertainment provided either. Not even a TV or Radio. Had to count sheep or play I spy which wasn't really environmentally friendly for that type of game.

Quite a few unwanted wake up calls in the middle of the night with other guests coming and going. Random rude awakenings and so on.

Food was awful. Tracker bar and the cheapest ready meal money can buy is about the height of it. Small cups of water provided only, one gulp and it's gone. After a heavy nights drinking u think they would be a bit more considerate with the amount provided, give u a jug at least. They don't really like to be bothered after they leave u to your room.

Check out was a nightmare, too many hold ups and empty promises of quicker check out. Just couldn't get out of there fast enough.

Got a free tracksuit though and got pushed out the door and into the street to show it off to the crowds of judgemental onlookers admiring your  new plain grey top notch no named outfit with your black school gym gutties.

Not a great experience overall. Definitely recommend avoiding this place. You would find more peace and comfort on the street.",1
Colindale Police Station,"Absolute rubbish service from an officer yesterday. Only one officer was attending the main desk through the three-hour wait—lack of empathy, lack of training and apparent lack of respect and communication.

He was unable to help me, and when I had given in a phone to return to the rightful owner as there was a conflict between myself and the family. The officer had redirected me to them and told me to hand it in myself or go to a police station closer to them - Harrow and have it to them. ‘We are not a parcel service/messenger service’, which I thought was absurd and downright unprofessional.

Your job is to protect civilians and prevent them from escalating situations. If someone has come to hand over another’s personal belonging, it’s the police's responsibility to have it back. However he suggested me to hand it over at Harrow police station? What sense does that make. I’m here in Colindale and you want me to travel to an alternative station to collect for someone else to deal with and wait another 1/2 to be seen just to hand in a phone?
When I explained this to him. He was asking me ‘am I taking revenge’ what absolute rubbish. He was just fobbing people off and was extremely unhelpful. An officer with such an attitude and arrogance.

I will be filing a complaint against this officer for lack of support.",1
Lewisham Police Station,"I was physically and racially assaulted today at a Chinese shop, I called the police because the lady threw my money at me when I requested it back since the food I ordered was taking three times the estimated time I was asked to wait  and I was not surprised that police was of no good to anyone,.

One of them was asking me not to tell him how to do his job , I was begging them to please check the CCTV Camera for evidence but they can't be bordered to do it because as we all know they hate our guts.( especially people of colour) every time we try to report something some them don't care.

one of the police man can not even hide his attitude towards me and I asked him, why do some police hate us so much, why put on uniform if you can hide your feelings towards some type of  people, they try to strangle our children when arresting them .I have a video proof for that one incase they want to deny it, is on my facebook till today.

Why are they getting into this job just to see the opportunity to treat some people different?
.
I told those two officers to their face although one of them was alright ,that it will be a very good idea for them to consider another profession since they can't handle some group of  people in this community, I think policing is a waste tax  payers money .May God help us.",1
